Service,ResourceType,ResourceId,Name,Application,Environment,Notes
EC2,VPC,vpc-074002f57df8a6967,AC-CCT-CRT-vpc,CCT,CRT,cidr=10.111.196.0/22 default=False
EC2,Subnet,subnet-09a958f7cf65b24b9,AC-CCT-CRT-vpc-db-ca-central-1b,CCT,CRT,cidr=10.111.199.32/27 az=ca-central-1b pubip=False
EC2,Subnet,subnet-035949079d4d2e77b,AC-CCT-CRT-vpc-private-ca-central-1d,CCT,CRT,cidr=10.111.198.0/24 az=ca-central-1d pubip=False
EC2,Subnet,subnet-0a0c5150645eb23ac,AC-CCT-CRT-vpc-private-ca-central-1a,CCT,CRT,cidr=10.111.196.0/24 az=ca-central-1a pubip=False
EC2,Subnet,subnet-017249b71fabb01ad,AC-CCT-CRT-vpc-db-ca-central-1d,CCT,CRT,cidr=10.111.199.64/27 az=ca-central-1d pubip=False
EC2,Subnet,subnet-00243590eac89c415,AC-CCT-CRT-vpc-private-ca-central-1b,CCT,CRT,cidr=10.111.197.0/24 az=ca-central-1b pubip=False
EC2,Subnet,subnet-027d08767ae12aec9,AC-CCT-CRT-vpc-db-ca-central-1a,CCT,CRT,cidr=10.111.199.0/27 az=ca-central-1a pubip=False
EC2,RouteTable,rtb-0e49812bab42b451b,AC-CCT-CRT-vpc-private-ca-central-1b,CCT,CRT,10.111.196.0/22->local;0.0.0.0/0->tgw-040d00704a8a525c2;pl-7da54014->vpce-0788ca05796c74578
EC2,RouteTable,rtb-0088c2918c2813bbb,AC-CCT-CRT-vpc-private-ca-central-1d,CCT,CRT,10.111.196.0/22->local;0.0.0.0/0->tgw-040d00704a8a525c2;pl-7da54014->vpce-0788ca05796c74578
EC2,RouteTable,rtb-03a3a0d0b4a4ed226,AC-CCT-CRT-vpc-private-ca-central-1a,CCT,CRT,10.111.196.0/22->local;0.0.0.0/0->tgw-040d00704a8a525c2;pl-7da54014->vpce-0788ca05796c74578
EC2,RouteTable,rtb-0c5dba032c1892930,AC-CCT-CRT-vpc-default,CCT,CRT,10.111.196.0/22->local
EC2,TransitGatewayAttachment,tgw-attach-04cf5daa322554028,AC-CCT-CRT-sharedservices-cac,CCT,CRT,tgw=tgw-040d00704a8a525c2 owner=378463553233 vpc=vpc-074002f57df8a6967
EC2,VPCEndpoint,vpce-03fa192d31333156e,ssmmessages-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.ssmmessages
EC2,VPCEndpoint,vpce-0e9c6d5de94d7a9cd,ec2messages-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.ec2messages
EC2,VPCEndpoint,vpce-09ef27d7c8c0fd8bc,pipes-data-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.pipes-data
EC2,VPCEndpoint,vpce-03821bfb46b9a149c,kms-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.kms
EC2,VPCEndpoint,vpce-076d2a01d1308c048,s3-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.s3
EC2,VPCEndpoint,vpce-0c3ecb948a848c65a,ssm-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.ssm
EC2,VPCEndpoint,vpce-0a9cd5265db085857,ecr.api-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.ecr.api
EC2,VPCEndpoint,vpce-039c7c4449ef5934c,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-0a268b84d32edc322
EC2,VPCEndpoint,vpce-0df1af3f8e8e66c5e,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-02514fc06cfc4643a
EC2,VPCEndpoint,vpce-07235cc34fac22811,ac-cct-crt-execute-api-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.execute-api
EC2,VPCEndpoint,vpce-028451147c07df9ea,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-0a268b84d32edc322
EC2,VPCEndpoint,vpce-0cd3c2f765d8bfad3,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-02514fc06cfc4643a
